scenario_id,mean_wind_speed,max_wind_speed,wind_velocity_x,wind_velocity_y,wind_velocity,wind_acceleration_x,wind_acceleration_y,wind_acceleration,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,stability_std_z,stability_std_vz,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,wind_speed_cmd,wind_dir_cmd,hover_height_cmd,gt_safe_to_land,label,success,onto_wind_condition,onto_gust,onto_temporal_pattern,onto_drone_state,onto_tag_observation,onto_landing_context
111,1.54093470378798,2.37032151222229,-0.930274016447731,-1.19954939331174,1.54093470378798,-0.0482355886601971,0.019300488631733,0.0519536415934378,0.8714133013918,1.00441317348463,0.176330624135364,0.240178439693373,0.17420823580056,0.529624530493009,0.156597922390145,0.0407495083037628,NaN,NaN,NaN,NaN,1.59306398738573,-126.486183134521,2.35939377227643,stable,stable,1,0.478902009811454,0.19613686618985,0.202099199351303,0.897096051344003,0.322574117421973,0.583574841100606
112,2.62737432678541,3,-0.243166583867921,-2.58140533181205,2.62737432678541,0.00582235305447853,0.00479220783230659,0.00754089192330828,1.73102097919956,1.49732026643377,0.0231673244964085,0.0545122737238993,0.110439291942607,0.435458737605739,0.000508561850372888,0.00571931018845034,NaN,NaN,NaN,NaN,3,-94.1056534981467,2.13923494424682,stable,stable,1,0.814661995448353,0.0852232733258903,0.0534397406440253,0.963050799393248,0.35091587024773,0.783935988679804
113,1.7155981153047,2.46362042427063,-0.984713239827379,-1.38414999080154,1.7155981153047,-0.0476807433852192,0.0228750509925972,0.0528840358490258,0.881966805337317,0.920493911468449,0.176953756593759,0.240229235634173,0.162221135737258,0.396257972732649,0.159493977987823,0.0353731794185056,NaN,NaN,NaN,NaN,1.77528590773906,-124.910768203071,1.93328933138031,stable,stable,1,0.533069376580934,0.178000426089656,0.190549442426828,0.89736093035679,0.327901717450108,0.577921730178758
114,2.66932232077442,3,-0.427707518994355,-2.5970397358891,2.66932232077442,-0.0309598386512161,-0.00602464737375781,0.0315405768065116,1.73383046944718,1.47816071592779,0.0623745376019685,0.240319842293965,0.122000865189636,0.445132353023888,0.0018517380395302,0.00760525748171202,NaN,NaN,NaN,NaN,2.9979851142919,-97.9705526263991,1.57685515288544,unstable,unstable,0,0.828225866232222,0.0801849169069493,0.0516994930035732,0.943575657599641,0.345777393249051,0.554231413120663
115,1.80957933591337,2.84656858444214,-1.0295807807775,-1.45762100776573,1.80957933591337,-0.0583666150072803,0.015150876910503,0.060301001803994,0.954177896896975,1.03566223921252,0.177312772078557,0.240250692499406,0.160489791642511,0.487855907890453,0.156641934570232,0.040407325785834,NaN,NaN,NaN,NaN,1.89315516909655,-124.179562229341,1.85872775095447,stable,stable,1,0.56237661750857,0.244377764583039,0.230938869349624,0.895709155748432,0.328671203714439,0.57448977741351
116,1.65826282024384,2.48911929130554,-1.00634698698204,-1.29705698257275,1.65826282024384,0.00650635244562033,0.0031038541556188,0.00720878164227366,1.48391297406151,1.42239250735422,0.0206603279030953,0.0582163898626081,0.103282847027759,0.492306765496614,0.00031981100601049,0.0054344262175912,NaN,NaN,NaN,NaN,1.69700248239393,-126.66944677606,2.20764318553492,stable,stable,1,0.514229679180575,0.188264315956634,0.115076882787089,0.966834578694472,0.354096512432107,0.816005491467506
117,1.60728917397609,2.30329346656799,-0.951462955572473,-1.27820810927664,1.60728917397609,-0.0477588888413089,0.00378858062495711,0.0479089219927594,0.831304104656682,0.799998142022954,0.176378430057638,0.240191614535327,0.140434408572459,0.427825463762652,0.159543081998586,0.0379599146947449,NaN,NaN,NaN,NaN,1.6721231422542,-125.43586516234,1.83966053844259,stable,stable,1,0.499377518779087,0.165384268198517,0.183942202706469,0.898993410175841,0.337584707301129,0.58177370723728
118,1.74984514632193,2.43021726608276,-1.07089486072261,-1.37011614463228,1.74984514632193,-0.0459053331845841,0.00344945014374741,0.0460347512329748,1.03246905196895,1.16912414268557,0.176627569061499,0.240200732046763,0.160754154660939,0.496324423812401,0.156694887004522,0.0412969202883552,NaN,NaN,NaN,NaN,1.78141492798702,-127.597402747289,2.14764066419606,stable,stable,1,0.543526139555233,0.161523431338901,0.181573292728388,0.894387983225536,0.328553709039583,0.576482622081791
119,2.57817513187726,3,-0.363666946779653,-2.52141745178871,2.57817513187726,0.00657721930164396,0.0094533002569023,0.0115162797590657,1.68111755928726,1.75739266066919,0.0295341231819966,0.0722383720800762,0.112819987515077,0.516806210097113,0.00639442023684118,0.00587267859256925,NaN,NaN,NaN,NaN,2.88139783872518,-96.8469577847742,1.88593917290353,stable,stable,1,0.79950300407633,0.0970219132834445,0.0631906320079809,0.958216072395058,0.349857783326632,0.784740184177464
120,1.71274363183651,2.39147901535034,-1.02499572101057,-1.35919849110737,1.71274363183651,-0.0377028509046042,0.00409309762138591,0.037924377575288,0.846655676913708,0.924830719901786,0.176311457726992,0.240182828220318,0.129814535095327,0.466635722946387,0.159456778950327,0.0372915816017626,NaN,NaN,NaN,NaN,1.76744363452008,-125.864521808831,1.7646425013269,stable,stable,1,0.531835428012741,0.159668263846082,0.180231212969042,0.897925449447239,0.342304651068743,0.578360972774832
