scenario_id,label,success,failure_reason,hover_height_cmd,landing_height_m,wind_speed_cmd,wind_dir_cmd,mean_wind_speed,max_wind_speed,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,final_altitude,final_abs_speed,final_abs_roll_deg,final_abs_pitch_deg,final_tag_error,stability_std_z,stability_std_vz,stability_std_vz_osc,touchdown_accel_rms,contact_count,final_state,landing_cmd_time,launch_pid,launch_log,exception_message
11,unstable,0,z_unstable;vz_unstable,1.97641417036902,-4.63331932835038e-07,0.879977558736385,-23.2445879431805,0.50756973028183,0.993549525737762,0.311955526784383,1.55787914700459,0.159735756472884,4.63915946061203,0.138780920815695,0.313551856026494,-4.63331932835038e-07,0.00046243627210698,4.07071187515375e-09,0.000264955245865634,0.120919594159304,1.2263337837261,1.04727468450192,0.929835196312675,1.49288953571993,0,0,29.720016,1466591,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s011_20260309_160929.log,
12,unstable,0,z_unstable;vz_unstable,1.68623154626655,-5.69223737088964e-07,1.66995988434556,10.9551323702396,1.18359017372131,2.07817959785461,0.110241471432327,1.23159339106011,0.133345937590157,4.57210520573412,0.142232473628661,0.372172632757597,-5.69223737088964e-07,0.000568327068115022,4.03766268294599e-09,0.000325626805097529,0.00176437263786931,1.10425882856041,0.99870846988975,0.776460998620323,1.46189712799918,0,0,29.624117,1469488,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s012_20260309_161026.log,
13,unstable,0,tag_error_high;z_unstable;vz_unstable,2.04689424634762,7.25885397310164e-07,7.88767012553561,-103.410153593065,4.83608202139537,10.0151567459106,2.35326414643152,1.19319610120791,0.158427713696739,4.68726804500735,0.200515565129241,0.389252408607742,7.25885397310164e-07,0.00259505760794546,0.000288018356433637,3.16052796999396e-05,0.389252408607742,1.23496183814289,1.05268806404276,0.911275157452332,1.56760901003183,0,0,29.742266,1472348,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s013_20260309_161124.log,
14,unstable,0,roll_high;pitch_high;z_unstable;vz_unstable,2.13538194369681,0.154849665369862,7.21244038451573,133.770128166562,5.84313241173239,8.87927913665771,8.89582867632669,4.04815357785228,0.175377192846245,4.68997266318078,0.2809808998388,0.637586828797535,0.154849665369862,0.269369767117525,179.129089257365,17.1111939278172,0.20344749235944,1.20610522611222,1.08252389131074,0.961562768861758,1.53871949171742,0,0,29.714078,1475149,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s014_20260309_161222.log,
15,unstable,0,z_unstable;vz_unstable,1.89540801205926,4.41979619944406e-07,2.2836483813207,-92.5017686521424,2.03968603610992,3.04869079589844,1.07800602157332,1.23817453285509,0.151869915762168,4.62181902495927,0.159977909889913,0.332294332794296,4.41979619944406e-07,0.0026749796988168,0.000177395274229509,2.31320035474923e-05,0.15232257419661,1.18487905518642,1.03351298208533,0.892635693207138,1.50982739676329,0,0,29.718527,1477985,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s015_20260309_161320.log,
16,unstable,0,z_unstable;vz_unstable,1.5840585998594,-1.86917038564233e-06,2.87091949327642,83.9459451927731,1.53485701634334,3.53326177597046,0.721918130286956,0.811960037265518,0.128457734348214,4.48464756884588,0.172910691413958,0.42221804023428,-1.86917038564233e-06,0.00230976718396976,0.00073041950800798,7.5561426988737e-05,0.161421722212946,1.05484839964698,0.970524810457422,0.750703718453065,1.42104527571875,0,0,29.644102,1480769,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s016_20260309_161418.log,
17,unstable,0,z_unstable;vz_unstable,1.97647178832717,4.40591735915276e-07,4.12472486852273,-7.16592875919548,2.73273207346598,5.23735284805298,0.161182766136419,1.54830689625722,0.143597955324006,4.72034710801345,0.116112539643039,0.440981168790818,4.40591735915276e-07,0.00296028617331264,0.000176839357143264,2.30594882618333e-05,0.0185101929587911,1.23239215346205,1.03216519192871,0.802428533160913,1.51200747991736,0,0,29.743201,1483564,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s017_20260309_161515.log,
18,unstable,0,tag_error_high;z_unstable;vz_unstable,1.56234204863136,-8.94682789325698e-10,1.14826477626551,-155.532471031178,0.832490535343395,1.48153913021088,0.136689253309922,1.63018818960962,0.139359876858854,4.64143984521486,0.191359650523397,0.498770789188839,-8.94682789325698e-10,0.000334313947962061,1.14393631823463e-09,2.02376893806599e-09,0.498770789188839,1.03542711365656,1.02026343111877,0.817814610775978,1.47303028237647,0,0,29.68311,1486341,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s018_20260309_161613.log,
19,unstable,0,z_unstable;vz_unstable,1.826700532971,-4.52239814494497e-06,7.31518651554059,-1.95972581156079,4.32975416183472,9.2670202255249,0.299872849594421,2.54216771053557,0.148986075345585,4.63572410962182,0.124977353964978,0.212553109765584,-4.52239814494497e-06,0.00454792333444547,0.000660106873632058,0.000729878703983977,0.0620988318645507,1.14440118775667,1.03918609748521,0.892557526087455,1.53437149459599,0,0,29.802136,1489112,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s019_20260309_161711.log,
20,unstable,0,z_unstable;vz_unstable,2.10973179740691,-8.9680743567481e-10,7.7421260705247,48.2897331586607,6.77354661623637,9.39291858673096,1.46433466370356,2.07091681386333,0.196927780096992,6.75608048203132,0.167598552201671,0.277323180537031,-8.9680743567481e-10,0.000595377749969078,3.86814472936544e-10,2.81515854692471e-09,0.148103051762818,1.25472263568733,1.60498900264099,1.06625864581564,2.3902255903738,0,0,29.767274,1491882,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s020_20260309_161808.log,
21,unstable,0,z_unstable;vz_unstable,1.50929021743183,-1.86916599779086e-06,1.58662711993123,-172.555148847277,0.774349244435628,1.94334506988525,0.107446504060322,1.9259994997674,0.139738758793731,4.62042880595043,0.214732337312603,0.453257926642513,-1.86916599779086e-06,0.00230975925110714,0.000730417792535123,7.55612494728111e-05,0.305873641327404,1.00449477071514,1.02204843852286,0.815790757403771,1.46218199232029,0,0,29.641256,1494681,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s021_20260309_161906.log,
22,unstable,0,z_unstable;vz_unstable,2.09472996886471,4.40601339339408e-07,6.94586331554014,114.720614494374,5.25571898853078,8.68758296966553,2.08958892389948,1.666663749511,0.200898030423562,6.81420087213652,0.252274229439954,0.569756564528407,4.40601339339408e-07,0.00267497106988455,0.000176843202332506,2.30599975842428e-05,0.194524796769256,1.24534551963239,1.61627628646154,1.0745353956955,2.39160116873838,0,0,29.673923,1497487,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s022_20260309_162004.log,
23,unstable,0,roll_high;z_unstable;vz_unstable,2.14386621814066,0.161989138851159,7.37544461034676,-101.067394728465,5.30030732154846,9.23186111450195,7.69364589098846,1.7253166332009,0.176456476667766,4.76197726431105,0.232830710751995,0.452362461877107,0.161989138851159,0.171792241884604,160.5514718813,0.00102569736164264,0.202372087105492,1.19565496352465,1.09883903582763,0.965055439246442,1.57788035143791,0,0,29.712728,1500258,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s023_20260309_162102.log,
24,unstable,0,z_unstable;vz_unstable,1.90664375566073,-5.46258191523025e-07,0.808094447932281,-8.32314900906402,0.539334028959274,1.35949563980103,0.0483651631344676,1.04098193138305,0.139328874407373,4.62095399196937,0.119920429134828,0.237144378744163,-5.46258191523025e-07,0.000545364817219955,0.000312468517188819,4.03817054286668e-09,0.102276020138835,1.20930313493404,1.00617898126693,0.783961607101891,1.47313326231537,0,0,29.754571,1503036,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s024_20260309_162159.log,
25,unstable,0,tag_error_high;z_unstable;vz_unstable,1.98862927749971,-1.86916362621778e-06,3.25661226515195,-134.432527054615,2.1914270122846,4.06553983688354,0.638265747490912,2.01339538980612,0.194392646618837,6.79902177659014,0.224259033946965,0.56984788514009,-1.86916362621778e-06,0.00230975497126286,0.000730416865344647,7.5561153514675e-05,0.404739140364307,1.21616535423485,1.62103232905658,1.07333823628701,2.4144945615634,0,0,29.808342,1505825,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s025_20260309_162257.log,
26,unstable,0,z_unstable;vz_unstable,1.7773680017205,-6.00717008969188e-07,3.47501487103981,-53.89360400559,3.0386714776357,4.60366916656494,0.698945559757885,1.46592403291351,0.146901482392026,4.53359792104748,0.137492216341574,0.273506119126365,-6.00717008969188e-07,0.000599820040128927,4.03572295337503e-09,0.000343671119129259,0.15900250776988,1.13599428258637,1.00367431727353,0.863273907593378,1.44619486837984,0,0,29.682989,1508653,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s026_20260309_162355.log,
27,unstable,0,z_unstable;vz_unstable,2.04543978797543,-1.86916546501015e-06,0.540581541514531,-32.238576108524,0.375791576504707,0.837045311927795,0.104004433855376,1.28679173676643,0.191890060108174,6.83637861744533,0.14414763554501,0.414158441949066,-1.86916546501015e-06,0.00230975831795151,0.00073041758424753,7.5561228011952e-05,0.105590451789258,1.26346590911467,1.62629747447587,1.09819885726378,2.40115444387898,0,0,29.618283,1511554,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s027_20260309_162453.log,
28,unstable,0,z_unstable;vz_unstable,2.39817231197164,-1.86916134045695e-06,3.70648453807476,-36.5772863256843,3.0455753663007,4.66447591781616,0.548413909515803,1.44367149203243,0.201312127740369,6.68773927693353,0.1393602839846,0.308202097181368,-1.86916134045695e-06,0.00230975098027525,0.000730415971729972,7.55610613335844e-05,0.0649960919009009,1.40140220246091,1.59634105609043,1.08401566133745,2.35508435989566,0,0,29.673813,1514405,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s028_20260309_162551.log,
29,unstable,0,z_unstable;vz_unstable,1.89836706413953,-1.86916711674989e-06,7.0600395662769,14.045011277029,4.41271305084229,8.8137149810791,0.443288193529433,1.94056056168537,0.138464563418867,4.6544736028658,0.133951152101148,0.333945495831998,-1.86916711674989e-06,0.00230976168327965,0.000730418230033202,7.55612950959491e-05,0.109740299259786,1.18804210431202,1.02456926757626,0.79418594142034,1.500326649109,0,0,29.780365,1517172,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s029_20260309_162649.log,
30,unstable,0,z_unstable;vz_unstable,1.91460748702379,-8.96839703364443e-10,5.18046493833487,-3.86319055402092,3.22988751530647,6.27988052368164,0.181703567410976,1.40519925405928,0.138464974801579,4.56454162373675,0.110578406975006,0.21068206754051,-8.96839703364443e-10,0.000600956769551762,3.65259576682693e-10,2.83135203630272e-09,0.117271696083804,1.20687086040457,0.991747621609873,0.769796703602654,1.45269942469369,0,0,29.73629,1520007,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s030_20260309_162747.log,
